date time sender month day length count word ily miss baby sex sorry insult tired drag n_pos n_neg anger anticipation disgust fear joy sadness surprise trust negative positive
2018-09-09 22 Andrew Sep Sun 43 19937 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 101 19937 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 139 13642 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 94 13642 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 9 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
2018-09-09 22 Andrew Sep Sun 88 19937 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 77 13642 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 166 19937 27 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 18 19937 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 42 19937 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 81 13642 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 27 13642 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 81 19937 17 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1
2018-09-09 22 Andrew Sep Sun 41 19937 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0
2018-09-09 22 Andrew Sep Sun 46 19937 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 93 13642 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 124 19937 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 48 19937 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 50 19937 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 49 13642 11 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1
2018-09-09 22 Andrew Sep Sun 9 19937 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1
2018-09-09 22 Andrew Sep Sun 17 19937 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Maik Sep Sun 8 13642 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 22 Andrew Sep Sun 14 19937 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1
2018-09-09 23 Maik Sep Sun 17 13642 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 33 19937 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Maik Sep Sun 50 13642 9 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Maik Sep Sun 14 13642 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1
2018-09-09 23 Maik Sep Sun 45 13642 10 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 37 19937 7 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 16 19937 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 59 19937 14 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
2018-09-09 23 Maik Sep Sun 20 13642 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 24 19937 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 43 19937 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0
2018-09-09 23 Maik Sep Sun 71 13642 11 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 8 19937 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1
2018-09-09 23 Andrew Sep Sun 24 19937 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Maik Sep Sun 8 13642 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 4 19937 1 0 0 0 0 0 0 0 0 0 0 2 0 2 1 0 1 0 0 2 0
2018-09-09 23 Andrew Sep Sun 48 19937 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Maik Sep Sun 60 13642 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 18 19937 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 2
2018-09-09 23 Maik Sep Sun 31 13642 5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1
2018-09-09 23 Andrew Sep Sun 36 19937 7 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 1
2018-09-09 23 Andrew Sep Sun 50 19937 10 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Maik Sep Sun 29 13642 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 14 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Maik Sep Sun 58 13642 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 4 19937 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 24 19937 6 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Maik Sep Sun 18 13642 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2018-09-09 23 Andrew Sep Sun 14 19937 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
